EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
998013,SANTA CATALINA AND RINCON MOUNTAINS (ZONE), ,01/01/2022,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,165180,Z,514,TWC,0,0,Public, , , , , , , , ,01/01/2022,800, , , , ,"Heavy snow occurred in Ski Valley where 12-18 inches was observed. Slightly lower in elevation at Summerhaven there was 10-12 inches. This event spanned from 2021 into 2022.","A winter storm impacted southeast Arizona for New Years Eve into New Years Day 2022. This produced in excess of 1 foot of snow across the higher elevations of mountain ranges north of Interstate 10. Wind gusts to 35 mph accompanied the snow at times, but no significant blowing or drifting snow was reported. The strongest winds were farther south and east where gusts of 40 to 50 mph occurred in showers and thunderstorms. Rain was widespread in valley locations with one to two inches common. Some foothills and mid slope areas received over 3 inches of rainfall, but no significant flooding was reported.",1
998014,WHITE MOUNTAINS OF GRAHAM AND GREENLEE COUNTIES (ZONE), ,01/01/2022,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,165180,Z,510,TWC,0,0,SNOTEL, , , , , , , , ,01/01/2022,800, , , , ,"Hannagan Meadow received 12 to 14 inches of snow in this winter storm that spanned from 2021 into 2022.","A winter storm impacted southeast Arizona for New Years Eve into New Years Day 2022. This produced in excess of 1 foot of snow across the higher elevations of mountain ranges north of Interstate 10. Wind gusts to 35 mph accompanied the snow at times, but no significant blowing or drifting snow was reported. The strongest winds were farther south and east where gusts of 40 to 50 mph occurred in showers and thunderstorms. Rain was widespread in valley locations with one to two inches common. Some foothills and mid slope areas received over 3 inches of rainfall, but no significant flooding was reported.",2
998018,GALIURO AND PINALENO MOUNTAINS (ZONE), ,01/01/2022,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,165180,Z,511,TWC,0,0,Unknown, , , , , , , , ,01/01/2022,800, , , , ,"Per estimates from webcam imagery, Mt. Graham received 12-18 inches of snow. This event spanned from 2021 into 2022.","A winter storm impacted southeast Arizona for New Years Eve into New Years Day 2022. This produced in excess of 1 foot of snow across the higher elevations of mountain ranges north of Interstate 10. Wind gusts to 35 mph accompanied the snow at times, but no significant blowing or drifting snow was reported. The strongest winds were farther south and east where gusts of 40 to 50 mph occurred in showers and thunderstorms. Rain was widespread in valley locations with one to two inches common. Some foothills and mid slope areas received over 3 inches of rainfall, but no significant flooding was reported.",3
1004722,WHITE MOUNTAINS (ZONE), ,01/01/2022,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,166091,Z,17,FGZ,0,0,Trained Spotter, , , , , , , , ,01/01/2022,1200, , , , ,"Heavy snow fell across the White Mountains early on New Years Day. Some amounts include (in inches): Greer 12-13,  Alpine 11.0, Nutrioso 10.9, Pinetop-Lakeside 5-13, and                   |Eagar 7-10.","A strong area of low pressure and cold front moved across northern overnight and New Years morning with areas of heavy snow.",4
1004723,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,01/01/2022,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,166091,Z,14,FGZ,0,0,Trained Spotter, , , , , , , , ,01/01/2022,1100, , , , ,"Heavy snow fell across the southern portion of the Little Colorado River in Apache County.  Some amounts include (in inches): Eagar 7-10.","A strong area of low pressure and cold front moved across northern overnight and New Years morning with areas of heavy snow.",5
1005088,GRAND CANYON COUNTRY (ZONE), ,01/01/2022,1800,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,6,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold temperatures were observed around The Grand Canyon including: Tusayan -8F and South Rim Village 0F.","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",6
1005089,KAIBAB PLATEAU (ZONE), ,01/01/2022,2000,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,4,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold low temperatures were observed at Jacob Lake (-1F).","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",7
1005091,EASTERN MOGOLLON RIM (ZONE), ,01/01/2022,2000,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,16,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold low temperatures were observed across The Eastern Mogollon Rim including: -2F at Happy Jack and 1F at Clints Well.","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",8
1005093,WHITE MOUNTAINS (ZONE), ,01/01/2022,2000,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,17,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold low temperatures were observed across the White Mountains with Greens Peak at -1 F and Nutrioso at 0 F.","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",9
1005094,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,01/01/2022,2000,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,14,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold low temperatures were observed across the Little Colorado River Valley in Apache County including Springerville Airport at -9 F and St Johns Airport  at 5 F.","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",10
1005095,CHUSKA MOUNTAINS AND DEFIANCE PLATEAU (ZONE), ,01/01/2022,2000,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,11,FGZ,0,0,COOP Observer, , , , , , , , ,01/02/2022,800, , , , ,"Very cold temperatures were observed in Ganado (-7 F) and Tsaile (-5 F).","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",11
1004739,WESTERN MOGOLLON RIM (ZONE), ,01/01/2022,2100,Cold/Wind Chill, , ,0,0,0,0,AZ,MST-7, ,166092,Z,15,FGZ,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,800, , , , ,"Very cold temperatures were observed the morning of January 2, 2022.  Some of the lows include: Baderville and Parks -15 F,  Mormon Lake -14 F,  Bellemont (FGZ) -13 F,|Williams 10.9 SE  -10 F, Flagstaff Airport -7 F, Flagstaff Downtown -3 F,  Williams Airport -2 F, Happy Jack -2 F, Munds Park 9 F, and Snowbowl 13 F.","Very cold temperatures were felt across northern Arizona in the wake of a strong cold front and a fresh coating of snow.",12
1005097,WESTERN MOGOLLON RIM (ZONE), ,01/14/2022,2130,High Wind,73.00, ,0,0,0,0,AZ,MST-7,MG,166093,Z,15,FGZ,0,0,Mesonet, , , , , , , , ,01/15/2022,720, , , , ,"The Mesonet station (ASBSB) at 9969 feet on Agassiz Peak recorded a peak wind gust of 84 MPH at 440 AM. Wind gusts above 58 MPH were recorded sporadically between 1030 PM and 720 AM.  The station (ASBTP) at 11,555 feet reported a peak wind gust of 72 MPH at 420 AM.  Wind gust of 58 MPH and higher were reported between 930 PM and 630 AM.","An area of low pressure moved across the Four Corners area and pushed a strong dry cold front across northern Arizona from the north. This brought gusty north to northeast winds across the area.  Some locations experienced very high and damaging winds.",13
1005098,YAVAPAI COUNTY MOUNTAINS (ZONE), ,01/14/2022,2148,High Wind,69.00, ,0,0,0,0,AZ,MST-7,MG,166093,Z,8,FGZ,0,0,Mesonet, , , , , , , , ,01/15/2022,1048, , , , ,"The Humbug Creek station (QHBA3) measured a peak wind gust of 79 MPH at 648 AM. Wind gust over 58 MPH were reported between 948 PM and 1048 AM.","An area of low pressure moved across the Four Corners area and pushed a strong dry cold front across northern Arizona from the north. This brought gusty north to northeast winds across the area.  Some locations experienced very high and damaging winds.",14
994027,EAST VALLEY (ZONE), ,01/22/2022,2052,Strong Wind,40.00, ,0,0,5000,0,AZ,MST-7,EG,164640,Z,548,PSR,0,0,Broadcast Media, , , , , , , , ,01/22/2022,2132, , , , ,"Multiple Embry Health COVID-19 testing tents were damaged or destroyed across the Phoenix metro area, including a site at the Mesa Community College, due to strong winds. Loose objects were also blown around and the sites had to temporarily shutdown operations. Convective showers generated the strong wind gusts. Radar velocities from the Phoenix radar were upwards of 40 kts in the East Valley and Phoenix Sky Harbor Airport measured a max gust of 46 mph. The number of tents damaged or destroyed is unknown. A media report mentioned there were thousands of dollars worth of equipment damaged or destroyed, but a more specific amount is unknown. There were no injuries reported. Timing was based on radar.","A strong closed low pushed through Arizona on the 22nd and generated convective showers, with a few thunderstorms, in the afternoon and evening. A cluster of showers moved through the Phoenix metro area from the southeast in the evening and mixed down strong gradient winds from aloft. Most measured maximum surface wind gusts were around 25-35 mph, however there were observations in the mid 40s, including a 46 mph gust at Phoenix Sky Harbor Airport. There reasonably may have been gusts up to 50 mph that were not measured based on some videos and public reports. The strong gusts damaged or destroyed several COVID-19 testing tents across the metro area. No injuries were reported.",15
1005133,WESTERN MOGOLLON RIM (ZONE), ,01/27/2022,1800,High Wind,60.00, ,0,0,0,0,AZ,MST-7,MG,166096,Z,15,FGZ,0,0,Mesonet, , , , , , , , ,01/28/2022,230, , , , ,"The weather station at 11,555 feet on Agassiz Peak (ASBTP) reported a peak wind gust of 69 MPH at 1100 PM with frequent winds gust of 58 MPH or higher between 600 PM and 130 AM.  The station at 10767 feet (WX7FGZ-6) had peak wind gusts of 64 MPH between 700 and 715 PM with frequent wind gust of 58 MPH or higher between 445 PM and 1145 PM.  The weather station at 9379 feet (ASBLS-Little Spruce) had a peak wind gust of 64  MPH at midnight.  Wind gust over 58 MPH were observed between 715 PM and 1230 AM. Power outages were reported in parts of Flagstaff to Munds Park.","A strong area of low pressure moving through the Four Corners brought high winds to parts of northern Arizona overnight.",16
1005132,NORTHERN GILA COUNTY (ZONE), ,01/27/2022,2000,High Wind,65.00, ,0,0,100000,0,AZ,MST-7,EG,166096,Z,18,FGZ,0,0,Newspaper, , , , , , , , ,01/28/2022,30, , , , ,"A newspaper reported that large ponderosa pine trees were uprooted and snapped off and damaged RVs and the Lodge 5 miles east of Kohls Ranch at 1100 PM.  A utility company reported that power poles were down about 4 miles north-northwest of Kohls Ranch around 1151 PM. Power outages were reported in the communities of Woods Canyon Lake, Young, Christopher Creek, and Forest Lakes. A driver on Highway 260 between Payson and Forest Lakes reported strong winds blowing debris onto roadway. They had to slow down to maintain control. Wind gusts estimated at 55 MPH.","A strong area of low pressure moving through the Four Corners brought high winds to parts of northern Arizona overnight.",17
995132,YUMA (ZONE), ,02/02/2022,1041,High Wind,50.00, ,0,0,0,0,AZ,MST-7,MG,164818,Z,532,PSR,0,0,Mesonet, , , , , , , , ,02/02/2022,1041, , , , ,"The Yuma Proving Ground Station reported a wind gust of 58 mph.","An upper-level trough moving across the region created a strong pressure gradient across southwest Arizona. Strong northerly wind gusts of up to 60 mph as well as dense blowing dust that dropped visibilities to less than 1/4 of a mile were observed.",18
1010838,GALIURO AND PINALENO MOUNTAINS (ZONE), ,02/02/2022,1200,Cold/Wind Chill, , ,1,0,0,0,AZ,MST-7, ,167020,Z,511,TWC,0,0,County Official, , , , , , , , ,02/03/2022,900, , , , ,"A man hiking in the Pinaleno Mountains became lost on February 1. Several inches of snow fell on February 2 and coincided with wind chills around 10 degrees. Air temperatures dropped into the single digits overnight. Search teams were able to follow tracks in the snow but found the man deceased. The Pima County Medical Examiner determined that the cause of death was hypothermia.","Several inches of snow fell across the Pinaleno and Chiricahua mountains during the afternoon and evening hours of February 2. The snow was accompanied by wind chill  temperatures around 10 degrees. After the snow ended, air temperatures dropped into the single digits with wind chills near 5 below zero by sunrise on February 3. The Pima County Medical Examiner confirmed that hypothermia was the primary cause of death for two individuals in the mountains.",19
1010841,CHIRICAHUA MOUNTAINS (ZONE), ,02/02/2022,1200,Cold/Wind Chill, , ,1,0,0,0,AZ,MST-7, ,167020,Z,512,TWC,0,0,County Official, , , , , , , , ,02/03/2022,900, , , , ,"A migrant became lost while traversing the Chiricahua Mountains February 2. Several inches of snow fell late in the day and coincided with wind chills around 10 degrees. Wind chill temperatures dropped to as low as 5 below zero overnight. The Pima County Medical Examiner determined that the cause of death for this female was hypothermia.","Several inches of snow fell across the Pinaleno and Chiricahua mountains during the afternoon and evening hours of February 2. The snow was accompanied by wind chill  temperatures around 10 degrees. After the snow ended, air temperatures dropped into the single digits with wind chills near 5 below zero by sunrise on February 3. The Pima County Medical Examiner confirmed that hypothermia was the primary cause of death for two individuals in the mountains.",20
