EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
796730,WHITE MOUNTAINS OF GRAHAM AND GREENLEE COUNTIES (ZONE), ,01/01/2019,0,Winter Storm, , ,0,0,0,0,AZ,MST-7, ,133170,Z,510,TWC,0,0,Public, , , , , , , , ,01/01/2019,1330, , , , ,"Accumulating snow began on the afternoon of December 31. By the morning of January 1 estimated snowfall totals in the White Mountains above 7000 feet were one foot or greater.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",1
801155,SANTA CATALINA AND RINCON MOUNTAINS (ZONE), ,01/01/2019,0,Winter Storm, , ,0,0,0,0,AZ,MST-7, ,133170,Z,514,TWC,0,0,Public, , , , , , , , ,01/01/2019,1030, , , , ,"Accumulating snow began on the afternoon of December 31. By the morning of January 1 estimated snowfall totals in the Catalina and Rincon Mountains above 7000 feet were one foot or greater.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",2
792444,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,01/01/2019,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,132429,Z,14,FGZ,0,0,Public, , , , , , , , ,01/01/2019,1100, , , , ,"Snow began to fall New Year's Eve during the evening. Eight inches of new snow fell by 1100 AM on New Year's Day at an elevation of 5,640 feet in St Johns.","A third storm system in a week crossed northern Arizona with very low elevation snow. This storm lasted into New Year's Day.",3
796731,GALIURO AND PINALENO MOUNTAINS (ZONE), ,01/01/2019,0,Winter Storm, , ,0,0,0,0,AZ,MST-7, ,133170,Z,511,TWC,0,0,Public, , , , , , , , ,01/01/2019,1330, , , , ,"Accumulating snow began on the afternoon of December 31. By the morning of January 1 estimated snowfall totals in the Pinaleno Mountains above 7000 feet were one foot or greater.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",4
792442,WHITE MOUNTAINS (ZONE), ,01/01/2019,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,132429,Z,17,FGZ,0,0,Public, , , , , , , , ,01/01/2019,700, , , , ,"Eight inches of snow fell in Pinetop-Lakeside by around 1000 PM on New Year's Eve. Six more inches fell after that (14 total). Sixteen to eighteen inches of new snow fell around  McNary. One report indicated that over a foot of that fell before midnight.","A third storm system in a week crossed northern Arizona with very low elevation snow. This storm lasted into New Year's Day.",5
792354,LITTLE COLORADO RIVER VALLEY IN NAVAJO COUNTY (ZONE), ,01/01/2019,0,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,132429,Z,13,FGZ,0,0,Public, , , , , , , , ,01/01/2019,700, , , , ,"Snow began falling in the Taylor area on New Years Eve.  By 900 PM, five inches of new snow had fallen. Five more inches of snow fell between 900 PM and 700 AM on New Year's Day at an elevation of 5,600 feet.","A third storm system in a week crossed northern Arizona with very low elevation snow. This storm lasted into New Year's Day.",6
801154,CHIRICAHUA MOUNTAINS (ZONE), ,01/01/2019,400,Winter Storm, , ,0,0,0,0,AZ,MST-7, ,133170,Z,512,TWC,0,0,Public, , , , , , , , ,01/02/2019,1700, , , , ,"Accumulating snow began early in the morning of January 1. By the morning of January 2 estimated snowfall totals in the Chiricahua Mountains above 7000 feet were one foot or greater.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",7
799121,GILA BEND (ZONE), ,01/01/2019,750,Dense Fog, , ,0,0,0,0,AZ,MST-7, ,133580,Z,539,PSR,0,0,Trained Spotter, , , , , , , , ,01/01/2019,1000, , , , ,"Very cold and humid conditions were in place across the central deserts during the morning hours on January 1st, in the wake of an exiting winter storm. Conditions were favorable for the formation of fog, and patchy dense fog did develop around Gila Bend. At 0840MST a trained weather spotter 10 miles northwest of Gila Bend reported dense fog. He indicated that visibility had lowered to 100 feet along interstate 8 to the west of Gila Bend. A Dense Fog Advisory was in effect at the time of the report. No accidents were reported due to the dense fog despite hazardous driving conditions brought on by the sharply reduced visibility.","Very cold and rather humid conditions existed across the central deserts during the morning hours on January 1st, in the wake of an exiting winter storm that brought heavy snow to the high terrain east of Phoenix. Conditions were favorable for the formation of fog, and patchy dense fog did develop to the northwest of Gila Bend. At 0840MST a trained spotter located 10 miles northwest of Gila Bend reported visibility down to 100 feet along Interstate 8 west of Gila Bend. A Dense Fog Advisory was in effect at the time of the report, and it remained in effect through about 1000MST. No accidents were reported due to the dense fog, despite the hazardous driving conditions brought on by the sharply reduced visibility.",8
801156,DRAGOON/MULE/HUACHUCA AND SANTA RITA MOUNTAINS (ZONE), ,01/01/2019,1330,Winter Storm, , ,0,0,0,0,AZ,MST-7, ,133170,Z,513,TWC,0,0,Public, , , , , , , , ,01/02/2019,1700, , , , ,"Accumulating snow began in the afternoon of January 1 and continued into the afternoon of January 2. By the morning of January 2 the Canelo area had received 4 inches of snow.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",9
801153,UPPER GILA RIVER AND ARAVAIPA VALLEYS (ZONE), ,01/01/2019,1330,Winter Storm, , ,0,0,15000,0,AZ,MST-7, ,133170,Z,509,TWC,0,0,Public, , , , , , , , ,01/02/2019,1700, , , , ,"Snowfall began the afternoon of January 1st and continued into the afternoon of January 2nd. Safford reported 3 inches and Klondike reported 5.5 inches of snow. The snow caused several accidents on Highway 70 between Bylas and San Carlos and was eventually closed.","A relatively strong and cold weather system impacted southeast Arizona New Year's Eve through January 2nd.  This storm resulted in heavy snow across area mountain ranges through New Year's Day, especially over 7000 feet in elevation with some locations receiving over a foot of snow. Heavy snow shifted to the lower elevations south and east of Tucson overnight on January 1st and on January 2nd. Snow levels dropped to 2500 feet and snow reports ranged from 2 to 7 inches on the valley floors.",10
