NAME,COUNTY
APACHE JUNCTION,MARICOPA / PINAL
AVONDALE,MARICOPA
BENSON,COCHISE
BISBEE,COCHISE
BUCKEYE,MARICOPA
BULLHEAD CITY,MOHAVE
CAMP VERDE,YAVAPAI
CAREFREE,MARICOPA
CASA GRANDE,PINAL
CAVE CREEK,MARICOPA
CHANDLER,MARICOPA
CHINO VALLEY,YAVAPAI
CLARKDALE,YAVAPAI
CLIFTON,GREENLEE
COLORADO CITY,MOHAVE
COOLIDGE,PINAL
COTTONWOOD,YAVAPAI
DEWEY-HUMBOLDT,YAVAPAI
DOUGLAS,COCHISE
DUNCAN,GREENLEE
EAGAR,APACHE
EL MIRAGE,MARICOPA
ELOY,PINAL
FLAGSTAFF,COCONINO
FLORENCE,PINAL
FOUNTAIN HILLS,MARICOPA
FREDONIA,COCONINO
GILA BEND,MARICOPA
GILBERT,MARICOPA
GLENDALE,MARICOPA
GLOBE,GILA
GOODYEAR,MARICOPA
GUADALUPE,MARICOPA
HAYDEN,GILA
HOLBROOK,NAVAJO
HUACHUCA CITY,COCHISE
JEROME,YAVAPAI
KEARNY,PINAL
KINGMAN,MOHAVE
LAKE HAVASU CITY,MOHAVE
LITCHFIELD PARK,MARICOPA
MAMMOTH,PINAL
MARANA,PIMA/PINAL
MARICOPA,PINAL
MESA,MARICOPA
MIAMI,GILA
NOGALES,SANTA CRUZ
ORO VALLEY,PIMA
PAGE,COCONINO
PARADISE VALLEY,MARICOPA
PARKER,LA PAZ
PATAGONIA,SANTA CRUZ
PAYSON,GILA
PEORIA,MARICOPA/YAVAPAI
PHOENIX,MARICOPA
PIMA,GRAHAM
PINETOP-LAKESIDE,NAVAJO
PRESCOTT,YAVAPAI
PRESCOTT VALLEY,YAVAPAI
QUARTZSITE,LA PAZ
QUEEN CREEK,MARICOPA/PINAL
SAFFORD,GRAHAM
SAHUARITA,PIMA
SAN LUIS,YUMA
SCOTTSDALE,MARICOPA
SEDONA,YAVAPAI/COCONINO
SHOW LOW,NAVAJO
SIERRA VISTA,COCHISE
SNOWFLAKE,NAVAJO
SOMERTON,YUMA
SOUTH TUCSON,PIMA
SPRINGERVILLE,APACHE
ST. JOHNS,APACHE
STAR VALLEY,GILA
SUPERIOR,PINAL
SURPRISE,MARICOPA
TAYLOR,NAVAJO
TEMPE,MARICOPA
THATCHER,GRAHAM
TOLLESON,MARICOPA
TOMBSTONE,COCHISE
TUCSON,PIMA
TUSAYAN,COCONINO
WELLTON,YUMA
WICKENBURG,MARICOPA/YAVAPAI
WILLCOX,COCHISE
WILLIAMS,COCONINO
WINKELMAN,GILA/PINAL
WINSLOW,NAVAJO
YOUNGTOWN,MARICOPA
YUMA,YUMA
,
,
